"Submit_team";"iGEM_ID";"type"
"2015_SYSU_CHINA";"BBa_K1641058";"composite"
"2015_SYSU_CHINA";"BBa_K1641200";"composite"
"2015_SYSU_CHINA";"BBa_K1641208";"composite"
"2015_SYSU_CHINA";"BBa_K1641213";"composite"
"2015_SYSU_CHINA";"BBa_K1641214";"composite"
"2015_SYSU_CHINA";"BBa_K1641215";"composite"
"2015_SYSU_CHINA";"BBa_K1641216";"composite"
"2015_SYSU_CHINA";"BBa_K1641225";"composite"
"2015_SYSU_CHINA";"BBa_K1641000";"coding"
"2015_SYSU_CHINA";"BBa_K1641001";"coding"
"2015_SYSU_CHINA";"BBa_K1641002";"coding"
"2015_SYSU_CHINA";"BBa_K1641003";"coding"
"2015_SYSU_CHINA";"BBa_K1641209";"coding"
"2015_SYSU_CHINA";"BBa_K1641210";"coding"
"2015_SYSU_CHINA";"BBa_K1641211";"coding"
"2015_SYSU_CHINA";"BBa_K1641217";"coding"
"2015_SYSU_CHINA";"BBa_K1641222";"coding"
"2015_SYSU_CHINA";"BBa_K1641223";"coding"
"2015_SYSU_CHINA";"BBa_K1641224";"coding"
"2015_SYSU_CHINA";"BBa_K1641900";"coding"
"2015_SYSU_CHINA";"BBa_K1641901";"coding"
"2016_Stockholm";"BBa_K2144000";"coding"
"2016_Stockholm";"BBa_K2144001";"coding"
"2016_Stockholm";"BBa_K2144002";"coding"
"2016_Stockholm";"BBa_K2144003";"coding"
"2016_Stockholm";"BBa_K2144005";"coding"
"2016_Stockholm";"BBa_K2144006";"coding"
"2016_Stockholm";"BBa_K2144007";"coding"
"2016_Stockholm";"BBa_K2144008";"coding"
"2016_Stockholm";"BBa_K2144010";"coding"
"2016_Stockholm";"BBa_K2144011";"coding"
"2016_Stockholm";"BBa_K2144012";"coding"
"2016_Stockholm";"BBa_K2144100";"coding"
"2014_Pitt";"BBa_K1548000";"Regulatory"
"2014_Pitt";"BBa_K1548001";"Regulatory"
"2003_Antiquity";"BBa_I5210";"composite"
"2003_Antiquity";"BBa_I5220";"composite"
"2003_Antiquity";"BBa_I5230";"composite"
"2003_Antiquity";"BBa_I5310";"composite"
"2003_Antiquity";"BBa_I5320";"composite"
"2003_Antiquity";"BBa_I5410";"composite"
"2003_Antiquity";"BBa_I5510";"composite"
"2003_Antiquity";"BBa_I0500";"Regulatory"
"2003_Antiquity";"BBa_R0010";"Regulatory"
"2003_Antiquity";"BBa_R0011";"Regulatory"
"2003_Antiquity";"BBa_R0040";"Regulatory"
"2003_Antiquity";"BBa_R0051";"Regulatory"
"2003_Antiquity";"BBa_R0053";"Regulatory"
"2003_Antiquity";"BBa_R0052";"Regulatory"
"2003_Antiquity";"BBa_R0062";"Regulatory"
"2003_Antiquity";"BBa_R0063";"Regulatory"
"2003_Antiquity";"BBa_R0065";"Regulatory"
"2003_Antiquity";"BBa_R1050";"Regulatory"
"2003_Antiquity";"BBa_R1051";"Regulatory"
"2003_Antiquity";"BBa_R1062";"Regulatory"
"2003_Antiquity";"BBa_I1010";"Regulatory"
"2003_Antiquity";"BBa_I1051";"Regulatory"
"2003_Antiquity";"BBa_R0050";"Regulatory"
"2003_Antiquity";"BBa_R1052";"Regulatory"
"2003_Antiquity";"BBa_R1053";"Regulatory"
"2003_Antiquity";"BBa_C0012";"coding"
"2003_Antiquity";"BBa_C0040";"coding"
"2003_Antiquity";"BBa_C0050";"coding"
"2003_Antiquity";"BBa_C0051";"coding"
"2003_Antiquity";"BBa_C0052";"coding"
"2003_Antiquity";"BBa_C0053";"coding"
"2003_Antiquity";"BBa_C0060";"coding"
"2003_Antiquity";"BBa_C0061";"coding"
"2003_Antiquity";"BBa_C0062";"coding"
"2003_Antiquity";"BBa_B0030";"rbs"
"2003_Antiquity";"BBa_B0031";"rbs"
"2003_Antiquity";"BBa_B0032";"rbs"
"2003_Antiquity";"BBa_B0033";"rbs"
"2003_Antiquity";"BBa_B0034";"rbs"
"2003_Antiquity";"BBa_B0011";"terminators"
