"iGEM_ID";"Uniprot_id";"Part_Locus";"Protein_Locus"
"BBa_C0012";"P03023";"10---1089";"1---360"
"BBa_C0013";"P03023";"1---1080";"1---360"
"BBa_C0020";"P0AE69";"1---387";"1---129"
"BBa_C0024";"P07330";"1---1047";"1---349"
"BBa_C0028";"P07364";"1---858";"1---286"
"BBa_C0040";"P04483";"1---621";"1---207"
"BBa_C0041";"P04483";"1---621";"1---207"
"BBa_C0050";"P18680";"1---705";"1---235"
"BBa_C0051";"P03034";"1---711";"1---237"
"BBa_C0053";"P69202";"1---648";"1---216"
"BBa_C0056";"P16117";"1---285";"1---95"
"BBa_C0060";"Q9L8R8";"1---750";"1---250"
"BBa_C0061";"P12747";"1---579";"1---193"
"BBa_C0062";"P12746";"1---750";"1---250"
"BBa_C0070";"P54291";"1---603";"1---201"
"BBa_C0071";"P54292";"1---687";"1---229"
"BBa_C0072";"P03049";"1---249";"1---83"
"BBa_C0073";"P03049";"1---249";"1---83"
"BBa_C0074";"P06555";"1---384";"1---128"
"BBa_C0078";"P33883";"1---603";"1---201"
"BBa_C0079";"P25084";"1---717";"1---239"
"BBa_C0080";"P0A9E0";"1---876";"1---292"
"BBa_C0081";"P03034";"1---711";"1---237"
"BBa_C0082";"P0AEJ5";"655---1452";"185---450"
"BBa_C0083";"P0AC40";"46---1479";"1---478"
"BBa_C0100";"P62580";"659---3";"1---219"
"BBa_C0101";"P08373";"5399---5989";"1---197"
"BBa_C0160";"Q9L8R8";"1---750";"1---250"
"BBa_C0161";"P12747";"1---579";"1---193"
"BBa_C0170";"P54291";"1---603";"1---201"
"BBa_C0171";"P54292";"1---723";"1---241"
"BBa_C0178";"P33883";"1---603";"1---201"
"BBa_C0179";"P25084";"1---717";"1---239"
"BBa_C0361";"P12747";"1---579";"1---193"
"BBa_C0362";"P12746";"1---750";"1---250"
"BBa_C0378";"P33883";"1---603";"1---201"
"BBa_C0379";"P25084";"1---717";"1---239"
"BBa_C0400";"P11989";"1---834";"1---278"
"BBa_C0420";"P08722";"1---1875";"1---625"
