"iGEM_ID";"composition";"Locus";"Type";"length"
"BBa_I13520";"BBa_I0500";"1--1210";"brick";2079
"BBa_I13520";"BBa_E1010";"1237--1917";"brick";2079
"BBa_I13520";"BBa_B0010";"1951--2030";"brick";2079
"BBa_I13520";"BBa_B0012";"2039--2079";"brick";2079
"BBa_I13520";"BBa_B0034";"1219--1230";"brick";2079
"BBa_I712006";"BBa_I712003";"697--1890";"brick";1890
"BBa_I712006";"BBa_I712004";"1--654";"brick";1890
"BBa_I712006";"BBa_I712007";"661--690";"brick";1890
"BBa_I712036";"BBa_I712022";"2182--4854";"brick";4854
"BBa_I712036";"BBa_I712024";"661--2034";"brick";4854
"BBa_I712036";"BBa_I712004";"1--654";"brick";4854
"BBa_I712036";"BBa_I712011";"2041--2175";"brick";4854
"BBa_I712041";"BBa_I712024";"661--2034";"brick";2823
"BBa_I712041";"BBa_I712028";"2091--2823";"brick";2823
"BBa_I712041";"BBa_I712004";"1--654";"brick";2823
"BBa_I712041";"BBa_I712015";"2043--2084";"brick";2823
"BBa_I712043";"BBa_I712022";"738--3410";"brick";3410
"BBa_I712043";"BBa_I712004";"1--654";"brick";3410
"BBa_I712043";"BBa_I712015";"690--731";"brick";3410
"BBa_I712043";"BBa_I712026";"661--681";"brick";3410
"BBa_I712044";"BBa_I712028";"738--1470";"brick";1470
"BBa_I712044";"BBa_I712004";"1--654";"brick";1470
"BBa_I712044";"BBa_I712015";"690--731";"brick";1470
"BBa_I712044";"BBa_I712026";"661--681";"brick";1470
"BBa_I712050";"BBa_I712069";"663--3340";"brick";3340
"BBa_I712050";"BBa_J52034";"1--654";"brick";3340
"BBa_I712058";"BBa_J52642";"724--1443";"brick";1443
"BBa_I712058";"BBa_I712004";"1--654";"brick";1443
"BBa_I712058";"BBa_I712016";"661--717";"brick";1443
"BBa_I712059";"BBa_I712022";"724--3396";"brick";3396
"BBa_I712059";"BBa_I712004";"1--654";"brick";3396
"BBa_I712059";"BBa_I712016";"661--717";"brick";3396
"BBa_I712086";"BBa_I712082";"1--1907";"brick";2646
"BBa_I712086";"BBa_I712028";"1914--2646";"brick";2646
"BBa_I712087";"BBa_I712022";"2055--4727";"brick";4727
"BBa_I712087";"BBa_I712082";"1--1907";"brick";4727
"BBa_I712087";"BBa_I712011";"1914--2048";"brick";4727
"BBa_I712088";"BBa_I712082";"1--1907";"brick";2774
"BBa_I712088";"BBa_J52642";"2055--2774";"brick";2774
"BBa_I712088";"BBa_I712011";"1914--2048";"brick";2774
"BBa_I712669";"BBa_J52642";"661--1380";"brick";1380
"BBa_I712669";"BBa_I712004";"1--654";"brick";1380
"BBa_I714062";"BBa_E0040";"1--720";"brick";857
"BBa_I714062";"BBa_B0010";"729--808";"brick";857
"BBa_I714062";"BBa_B0012";"817--857";"brick";857
"BBa_I714071";"BBa_R0040";"1--54";"brick";102
"BBa_I714071";"BBa_J01010";"63--102";"brick";102
"BBa_I714075";"BBa_J01008";"1--94";"brick";231
"BBa_I714075";"BBa_B0010";"103--182";"brick";231
"BBa_I714075";"BBa_B0012";"191--231";"brick";231
"BBa_I730002";"BBa_C0040";"82--766";"brick";766
"BBa_I730002";"BBa_R0011";"1--54";"brick";766
"BBa_I730002";"BBa_B0034";"64--75";"brick";766
"BBa_I744204";"BBa_Q04400";"63--964";"brick";2816
"BBa_I744204";"BBa_P0455";"1921--2816";"brick";2816
"BBa_I744204";"BBa_E0430";"973--1850";"brick";2816
"BBa_I744204";"BBa_C0051";"1939--2688";"brick";2816
"BBa_I744204";"BBa_E0030";"991--1713";"brick";2816
"BBa_I744204";"BBa_C0040";"81--740";"brick";2816
"BBa_I744204";"BBa_B0010";"774--853";"brick";2816
"BBa_I744204";"BBa_B0010";"1722--1801";"brick";2816
"BBa_I744204";"BBa_R0040";"1--54";"brick";2816
"BBa_I744204";"BBa_R0040";"911--964";"brick";2816
"BBa_I744204";"BBa_R0040";"1859--1912";"brick";2816
"BBa_I744204";"BBa_B0011";"2771--2816";"brick";2816
"BBa_I744204";"BBa_B0012";"862--902";"brick";2816
"BBa_I744204";"BBa_B0012";"1810--1850";"brick";2816
"BBa_I744204";"BBa_B0012";"2722--2762";"brick";2816
"BBa_I744204";"BBa_B0034";"63--74";"brick";2816
"BBa_I744204";"BBa_B0034";"973--984";"brick";2816
"BBa_I744204";"BBa_B0034";"1921--1932";"brick";2816
"BBa_I746370";"BBa_I746313";"1--2324";"brick";3306
"BBa_I746370";"BBa_I746307";"1--1455";"brick";3306
"BBa_I746370";"BBa_I0500";"1--1210";"brick";3306
"BBa_I746370";"BBa_I746320";"2333--3306";"brick";3306
"BBa_I746370";"BBa_I13507";"1464--2324";"brick";3306
"BBa_I746370";"BBa_E0040";"2450--3169";"brick";3306
"BBa_I746370";"BBa_E1010";"1482--2162";"brick";3306
"BBa_I746370";"BBa_I746350";"1219--1455";"brick";3306
"BBa_I746370";"BBa_I746360";"2333--2423";"brick";3306
"BBa_I746370";"BBa_B0010";"2196--2275";"brick";3306
"BBa_I746370";"BBa_B0010";"3178--3257";"brick";3306
"BBa_I746370";"BBa_B0012";"2284--2324";"brick";3306
"BBa_I746370";"BBa_B0012";"3266--3306";"brick";3306
"BBa_I746370";"BBa_B0034";"1219--1230";"brick";3306
"BBa_I746370";"BBa_B0034";"1464--1475";"brick";3306
"BBa_I746370";"BBa_B0034";"2432--2443";"brick";3306
"BBa_I746371";"BBa_I746313";"1--2324";"brick";3307
"BBa_I746371";"BBa_I746307";"1--1455";"brick";3307
"BBa_I746371";"BBa_I0500";"1--1210";"brick";3307
"BBa_I746371";"BBa_I746321";"2333--3307";"brick";3307
"BBa_I746371";"BBa_I13507";"1464--2324";"brick";3307
"BBa_I746371";"BBa_E0040";"2451--3170";"brick";3307
"BBa_I746371";"BBa_E1010";"1482--2162";"brick";3307
"BBa_I746371";"BBa_I746350";"1219--1455";"brick";3307
"BBa_I746371";"BBa_I746361";"2333--2424";"brick";3307
"BBa_I746371";"BBa_B0010";"2196--2275";"brick";3307
"BBa_I746371";"BBa_B0010";"3179--3258";"brick";3307
"BBa_I746371";"BBa_B0012";"2284--2324";"brick";3307
"BBa_I746371";"BBa_B0012";"3267--3307";"brick";3307
"BBa_I746371";"BBa_B0034";"1219--1230";"brick";3307
"BBa_I746371";"BBa_B0034";"1464--1475";"brick";3307
"BBa_I746371";"BBa_B0034";"2433--2444";"brick";3307
"BBa_I746372";"BBa_I746313";"1--2324";"brick";3307
"BBa_I746372";"BBa_I746307";"1--1455";"brick";3307
"BBa_I746372";"BBa_I0500";"1--1210";"brick";3307
"BBa_I746372";"BBa_I746322";"2333--3307";"brick";3307
"BBa_I746372";"BBa_I13507";"1464--2324";"brick";3307
"BBa_I746372";"BBa_E0040";"2451--3170";"brick";3307
"BBa_I746372";"BBa_E1010";"1482--2162";"brick";3307
"BBa_I746372";"BBa_I746350";"1219--1455";"brick";3307
"BBa_I746372";"BBa_I746362";"2333--2424";"brick";3307
"BBa_I746372";"BBa_B0010";"2196--2275";"brick";3307
"BBa_I746372";"BBa_B0010";"3179--3258";"brick";3307
"BBa_I746372";"BBa_B0012";"2284--2324";"brick";3307
"BBa_I746372";"BBa_B0012";"3267--3307";"brick";3307
"BBa_I746372";"BBa_B0034";"1219--1230";"brick";3307
"BBa_I746372";"BBa_B0034";"1464--1475";"brick";3307
"BBa_I746372";"BBa_B0034";"2433--2444";"brick";3307
"BBa_I746375";"BBa_I746313";"1--2324";"brick";3307
"BBa_I746375";"BBa_I746307";"1--1455";"brick";3307
"BBa_I746375";"BBa_I0500";"1--1210";"brick";3307
"BBa_I746375";"BBa_I746325";"2333--3307";"brick";3307
"BBa_I746375";"BBa_I13504";"2433--3307";"brick";3307
"BBa_I746375";"BBa_I13507";"1464--2324";"brick";3307
"BBa_I746375";"BBa_E0040";"2451--3170";"brick";3307
"BBa_I746375";"BBa_E1010";"1482--2162";"brick";3307
"BBa_I746375";"BBa_I746350";"1219--1455";"brick";3307
"BBa_I746375";"BBa_I746365";"2333--2424";"brick";3307
"BBa_I746375";"BBa_B0010";"2196--2275";"brick";3307
"BBa_I746375";"BBa_B0010";"3179--3258";"brick";3307
"BBa_I746375";"BBa_B0012";"2284--2324";"brick";3307
"BBa_I746375";"BBa_B0012";"3267--3307";"brick";3307
"BBa_I746375";"BBa_B0034";"1219--1230";"brick";3307
"BBa_I746375";"BBa_B0034";"1464--1475";"brick";3307
"BBa_I746375";"BBa_B0034";"2433--2444";"brick";3307
"BBa_I746380";"BBa_I746314";"1--2324";"brick";3306
"BBa_I746380";"BBa_I746308";"1--1455";"brick";3306
"BBa_I746380";"BBa_I0500";"1--1210";"brick";3306
"BBa_I746380";"BBa_I746320";"2333--3306";"brick";3306
"BBa_I746380";"BBa_I13507";"1464--2324";"brick";3306
"BBa_I746380";"BBa_E0040";"2450--3169";"brick";3306
"BBa_I746380";"BBa_E1010";"1482--2162";"brick";3306
"BBa_I746380";"BBa_I746351";"1219--1455";"brick";3306
"BBa_I746380";"BBa_I746360";"2333--2423";"brick";3306
"BBa_I746380";"BBa_B0010";"2196--2275";"brick";3306
"BBa_I746380";"BBa_B0010";"3178--3257";"brick";3306
"BBa_I746380";"BBa_B0012";"2284--2324";"brick";3306
"BBa_I746380";"BBa_B0012";"3266--3306";"brick";3306
"BBa_I746380";"BBa_B0034";"1219--1230";"brick";3306
"BBa_I746380";"BBa_B0034";"1464--1475";"brick";3306
"BBa_I746380";"BBa_B0034";"2432--2443";"brick";3306
"BBa_I746381";"BBa_I746314";"1--2324";"brick";3307
"BBa_I746381";"BBa_I746308";"1--1455";"brick";3307
"BBa_I746381";"BBa_I0500";"1--1210";"brick";3307
"BBa_I746381";"BBa_I746321";"2333--3307";"brick";3307
"BBa_I746381";"BBa_I13507";"1464--2324";"brick";3307
"BBa_I746381";"BBa_E0040";"2451--3170";"brick";3307
"BBa_I746381";"BBa_E1010";"1482--2162";"brick";3307
"BBa_I746381";"BBa_I746351";"1219--1455";"brick";3307
"BBa_I746381";"BBa_I746361";"2333--2424";"brick";3307
"BBa_I746381";"BBa_B0010";"2196--2275";"brick";3307
"BBa_I746381";"BBa_B0010";"3179--3258";"brick";3307
"BBa_I746381";"BBa_B0012";"2284--2324";"brick";3307
"BBa_I746381";"BBa_B0012";"3267--3307";"brick";3307
"BBa_I746381";"BBa_B0034";"1219--1230";"brick";3307
"BBa_I746381";"BBa_B0034";"1464--1475";"brick";3307
"BBa_I746381";"BBa_B0034";"2433--2444";"brick";3307
"BBa_I746382";"BBa_I746314";"1--2324";"brick";3307
"BBa_I746382";"BBa_I746308";"1--1455";"brick";3307
"BBa_I746382";"BBa_I0500";"1--1210";"brick";3307
"BBa_I746382";"BBa_I746322";"2333--3307";"brick";3307
"BBa_I746382";"BBa_I13507";"1464--2324";"brick";3307
"BBa_I746382";"BBa_E0040";"2451--3170";"brick";3307
"BBa_I746382";"BBa_E1010";"1482--2162";"brick";3307
"BBa_I746382";"BBa_I746351";"1219--1455";"brick";3307
"BBa_I746382";"BBa_I746362";"2333--2424";"brick";3307
"BBa_I746382";"BBa_B0010";"2196--2275";"brick";3307
"BBa_I746382";"BBa_B0010";"3179--3258";"brick";3307
"BBa_I746382";"BBa_B0012";"2284--2324";"brick";3307
"BBa_I746382";"BBa_B0012";"3267--3307";"brick";3307
"BBa_I746382";"BBa_B0034";"1219--1230";"brick";3307
"BBa_I746382";"BBa_B0034";"1464--1475";"brick";3307
"BBa_I746382";"BBa_B0034";"2433--2444";"brick";3307
"BBa_I746385";"BBa_I746314";"1--2324";"brick";3307
"BBa_I746385";"BBa_I746308";"1--1455";"brick";3307
"BBa_I746385";"BBa_I0500";"1--1210";"brick";3307
"BBa_I746385";"BBa_I746325";"2333--3307";"brick";3307
"BBa_I746385";"BBa_I13504";"2433--3307";"brick";3307
"BBa_I746385";"BBa_I13507";"1464--2324";"brick";3307
"BBa_I746385";"BBa_E0040";"2451--3170";"brick";3307
"BBa_I746385";"BBa_E1010";"1482--2162";"brick";3307
"BBa_I746385";"BBa_I746351";"1219--1455";"brick";3307
"BBa_I746385";"BBa_I746365";"2333--2424";"brick";3307
"BBa_I746385";"BBa_B0010";"2196--2275";"brick";3307
"BBa_I746385";"BBa_B0010";"3179--3258";"brick";3307
"BBa_I746385";"BBa_B0012";"2284--2324";"brick";3307
"BBa_I746385";"BBa_B0012";"3267--3307";"brick";3307
"BBa_I746385";"BBa_B0034";"1219--1230";"brick";3307
"BBa_I746385";"BBa_B0034";"1464--1475";"brick";3307
"BBa_I746385";"BBa_B0034";"2433--2444";"brick";3307
"BBa_I746391";"BBa_I746315";"1--2351";"brick";3334
"BBa_I746391";"BBa_I746309";"1--1482";"brick";3334
"BBa_I746391";"BBa_I0500";"1--1210";"brick";3334
"BBa_I746391";"BBa_I746321";"2360--3334";"brick";3334
"BBa_I746391";"BBa_I13507";"1491--2351";"brick";3334
"BBa_I746391";"BBa_E0040";"2478--3197";"brick";3334
"BBa_I746391";"BBa_E1010";"1509--2189";"brick";3334
"BBa_I746391";"BBa_I746352";"1219--1482";"brick";3334
"BBa_I746391";"BBa_I746361";"2360--2451";"brick";3334
"BBa_I746391";"BBa_B0010";"2223--2302";"brick";3334
"BBa_I746391";"BBa_B0010";"3206--3285";"brick";3334
"BBa_I746391";"BBa_B0012";"2311--2351";"brick";3334
"BBa_I746391";"BBa_B0012";"3294--3334";"brick";3334
"BBa_I746391";"BBa_B0034";"1219--1230";"brick";3334
"BBa_I746391";"BBa_B0034";"1491--1502";"brick";3334
"BBa_I746391";"BBa_B0034";"2460--2471";"brick";3334
"BBa_I746392";"BBa_I746315";"1--2351";"brick";3334
